objid,ra,dec,u,g,r,i,z,petroRad_r,petroR50_r,petroR90_r,deVAB_r,expAB_r,lnLDeV_r,lnLExp_r,lnLStar_r,fracDeV_r,redshift,zErr,velDisp,velDispErr,gz2_objid,gz2_ra,gz2_dec,total_votes_gz2,t01_smooth_or_features_a01_smooth_fraction,t01_smooth_or_features_a02_features_or_disk_fraction,t01_smooth_or_features_a03_star_or_artifact_fraction,t03_bar_a06_bar_fraction,t03_bar_a07_no_bar_fraction,t04_spiral_a08_spiral_fraction,t04_spiral_a09_no_spiral_fraction,morph_class
"1,23764870406157E+018",232.22468302145,-0.306153140390378,20.02007,18.04964,17.00171,16.53829,16.12809,4.79046,1.941477,6.381366,0.9104549,0.863535,-116868,-2085092,-8701206,1.0,0.08580692,2.373812e-05,182.7962,9.354846,"5,87722982836667E+017",232.2246856689453,-0.3061530590057373,151,0.9089999794960022,0.090999998152256,0.0,0.0,1.0,0.0,1.0,Elliptical
"1,23764870458284E+018",196.600672926924,0.133656841721613,19.23165,17.24213,16.27876,15.85311,15.50076,4.417278,1.880886,5.416505,0.5998853,0.6153168,-317.8792,-3306.73,-16223.92,1.0,0.08442093,1.606591e-05,198.1255,6.683425,"5,8772298335794E+017",196.6006622314453,0.1336584091186523,155,0.8180000185966492,0.181999996304512,0.0,0.0,1.0,0.0,1.0,Elliptical
"1,2376487045852E+018",202.027358184454,0.0693260805706277,18.98317,17.05936,16.11063,15.68803,15.34374,6.207959,2.645797,8.038154,0.8736703,0.8298171,-77.62447,-4133612,-24082.23,1.0,0.08299268,1.745827e-05,180.3352,6.965135,"5,87722983360365E+017",202.02735900878903,0.0693273097276687,139,0.8840000033378601,0.0700000002980232,0.0469999983906745,0.0,1.0,0.0,1.0,Elliptical
"1,23764870459517E+018",224.688434314933,0.0240708465254822,18.36296,17.03706,16.48363,16.14819,16.02956,9.531955,4.670931,8.645874,0.8436449,0.850036,-2146603,-732.7324,-18081.24,0.08676676,0.06757253,1.336555e-05,62.39434,17.83844,"5,87722983370261E+017",224.6884307861328,0.0240713693201541,300,0.1899999976158142,0.8100000023841858,0.0,0.0289999991655349,0.9710000157356262,0.6759999990463257,0.3240000009536743,Irregular
"1,23764870459556E+018",225.587445224305,0.184827181930467,19.22875,17.76982,17.16173,16.78613,16.55157,7.38517,3.211262,7.797516,0.5055473,0.5267632,-434.9456,-139.4779,-10117.92,0.239978,0.08656486,1.056987e-05,90.12012,18.81377,"5,87722983370654E+017",225.5874481201172,0.1848286837339401,357,0.0219999998807907,0.9570000171661376,0.0219999998807907,0.0230000000447034,0.9769999980926514,0.953000009059906,0.0469999983906745,Spiral
"1,23764870459562E+018",225.788370956165,0.158260672254298,18.55455,17.38288,16.85493,16.48725,16.31991,4.905922,2.319496,5.072126,0.7246158,0.7525257,-1927656,-109.5337,-14123.84,0.0,0.06797858,6.651459e-06,65.61859,15.35748,"5,8772298337072E+017",225.78836059570312,0.1582562923431396,155,0.8600000143051147,0.1400000005960464,0.0,0.2000000029802322,0.800000011920929,0.6000000238418579,0.4000000059604645,Elliptical
"1,23764870459628E+018",227.206858723301,0.17806946014609,17.41621,15.92606,15.16908,14.77125,14.49784,14.53666,6.878957,14.24046,0.6756848,0.6394398,-6736069,-4165351,-62712.09,0.2860531,0.05399495,1.608743e-05,83.22622,7.91512,"5,87722983371375E+017",227.2068634033203,0.1780691891908645,293,0.0,0.9739999771118164,0.0260000005364418,0.1389999985694885,0.8610000014305115,1.0,0.0,Spiral
"1,23764870459628E+018",227.242521824738,0.19362036048478,18.72349,16.91439,16.05276,15.62819,15.31722,8.477121,3.83555,8.937613,0.5908497,0.5779927,-1597614,-2759002,-23092.61,0.6527607,0.07163873,2.548961e-05,111.5965,8.955999,"5,87722983371375E+017",227.24252319335935,0.1936194598674774,327,0.1459999978542328,0.8330000042915344,0.0209999997168779,625,375,0.5249999761581421,0.4749999940395355,Irregular
"1,23764870459654E+018",227.82674034709,0.119423473975717,19.56683,17.79334,16.96321,16.57814,16.2756,6.17919,2.296519,7.16669,0.8359112,0.78262,-203.9183,-1742549,-10067.56,1.0,0.05041043,2.047614e-05,68.23682,7.005778,"5,87722983371637E+017",227.8267364501953,0.1194203197956085,186,0.8889999985694885,0.1110000014305114,0.0,0.5,0.5,0.1669999957084655,0.8330000042915344,Elliptical
"1,2376487045968E+018",228.417472317112,0.160419401126992,19.40906,17.67097,16.69685,16.22602,15.90426,6.725384,2.908254,6.538823,0.6410367,0.6209671,-620.6721,-1746396,-12340.2,0.8431659,0.1174196,2.553096e-05,119.4661,11.73177,"5,87722983371899E+017",228.4174652099609,0.1604169458150863,274,0.135000005364418,0.8650000095367432,0.0,0.656000018119812,0.3440000116825104,0.968999981880188,0.0309999994933605,Spiral
"1,2376487045968E+018",228.508505855453,0.169343866916101,19.29745,17.73276,16.91969,16.38252,16.03612,8.018111,3.634397,7.827065,0.5101588,0.4333743,-1517666,-3119641,-8829102,1.0,0.1003457,1.162187e-05,266.3268,14.09486,"5,87722983371899E+017",228.5084991455078,0.1693414747714996,255,0.1000000014901161,0.800000011920929,0.1000000014901161,0.6549999713897705,0.3449999988079071,0.7929999828338623,0.2070000022649765,Irregular
"1,2376487051205E+018",198.430337055314,0.559266455227383,20.01188,18.0399,17.03573,16.56547,16.19709,4.899476,1.853682,5.036634,0.8398022,0.8193977,-252.3009,-1893671,-7244495,1.0,0.08176951,2.338039e-05,162.7793,9.598191,"5,87722983895597E+017",198.4303436279297,0.5592705607414246,172,0.800000011920929,0.1560000032186508,0.0439999997615814,0.0,1.0,0.0,1.0,Elliptical
"1,23764870512057E+018",198.52812897054,0.565936978563019,19.54669,17.67115,16.73791,16.32484,15983,4.347792,1.878455,4.872474,0.7184523,0.7353725,-254.1393,-1528365,-11117.28,0.9492145,0.0811113,1.834872e-05,143.7333,7.347842,"5,87722983895663E+017",198.5281219482422,0.565938413143158,143,0.8840000033378601,0.0930000022053718,0.0230000000447034,0.0,1.0,0.5,0.5,Elliptical
"1,2376487051207E+018",198.758834679766,0.45281092951874,18.95751,17.16772,16.35419,15.96487,15.68141,3.721259,1.616925,4.557598,0.2909805,0.3229479,-459.7104,-1840384,-16200.22,0.8960482,0.04716071,1.133423e-05,107.8019,4.144622,"5,87722983895794E+017",198.7588348388672,0.4528120458126068,134,0.8100000023841858,0.1430000066757202,0.0480000004172325,0.0,1.0,0.0,1.0,Elliptical
"1,23764870512194E+018",201.621695826231,0.510923264113921,18.59118,16.67287,15.68893,15.24547,14.87943,10.10937,4.157411,12.95354,0.7700382,0.834649,-108.8017,-5660851,-33240.63,1.0,0.09713959,1.919652e-05,228.5521,8.664994,"5,87722983897039E+017",201.62168884277344,0.5109165906906128,141,0.8669999837875366,0.0890000015497207,0.0439999997615814,0.0,1.0,0.0,1.0,Elliptical
