objid,ra,dec,u,g,r,i,z,petroRad_r,petroR50_r,petroR90_r,deVAB_r,expAB_r,lnLDeV_r,lnLExp_r,lnLStar_r,fracDeV_r,redshift,zErr,velDisp,velDispErr,gz2_objid,gz2_ra,gz2_dec,total_votes_gz2,t01_smooth_or_features_a01_smooth_fraction,t01_smooth_or_features_a02_features_or_disk_fraction,t01_smooth_or_features_a03_star_or_artifact_fraction,t03_bar_a06_bar_fraction,t03_bar_a07_no_bar_fraction,t04_spiral_a08_spiral_fraction,t04_spiral_a09_no_spiral_fraction,morph_class
1237648721230561496,179.603262545789,-0.0738253894116274,19.00153,16.91901,15.87448,15.44554,15.11299,8.582342,3.484784,11.2941,0.7471116,0.727388,-166.4606,-5242.678,-29368.21,1.0,0.1072874,1.719442e-05,235.6689,7.384139,588848899912499425,179.60325622558594,-0.0738308727741241,140,0.8460000157356262,0.1280000060796737,0.0260000005364418,0.4000000059604645,0.6000000238418579,0.4000000059604645,0.6000000238418579,Elliptical
1237648721230823554,180.170477715339,-0.0391871008640089,19.76433,17.53522,16.4317,15.93675,15.52497,4.657283,1.981579,6.215074,0.5104978,0.5216488,-39.73144,-2796.549,-16625.19,1.0,0.09409562,1.767708e-05,259.1233,6.630405,588848899912761496,180.17047119140625,-0.0391873382031917,142,0.8809999823570251,0.1190000027418136,0.0,0.5,0.5,0.0,1.0,Elliptical
1237648722304303378,179.571853317114,0.767273537112532,18.06393,16.77441,16.16535,15.74095,15.51894,5.100277,2.611211,5.997231,0.7000078,0.794856,-4509.167,-1935.592,-33183.8,0.1940933,0.07802294,4.914069e-06,140.0847,6.762623,588848900986241217,179.5718536376953,0.7672709226608276,292,0.0,1.0,0.0,0.2290000021457672,0.7710000276565552,1.0,0.0,Spiral
1237648721231085704,180.783367018545,-0.0673266352594998,19.49545,17.78684,16.99465,16.63908,16.36818,2.602992,1.168806,3.12983,0.4178016,0.4619316,-137.5027,-754.2546,-7660.817,0.9143753,0.07526869,1.326913e-05,119.5464,5.174148,588848899913023661,180.7833709716797,-0.0673198476433754,140,0.8569999933242798,0.1190000027418136,0.0240000002086162,0.6669999957084656,0.3330000042915344,0.0,1.0,Elliptical
1237648721231347897,181.458438307313,-0.184454147274256,17.85313,16.48477,15.91462,15.55956,15.33079,7.835142,3.845461,8.542094,0.8218763,0.8181794,-4406.397,-1335.49,-39230.64,0.1466001,0.06163909,8.962613e-06,84.7524,10.60114,588848899913285870,181.45843505859372,-0.1844528168439865,257,0.1430000066757202,0.8569999933242798,0.0,0.0689999982714653,0.930999994277954,0.7239999771118164,0.2759999930858612,Irregular
1237648721231413494,181.599232325065,-0.0343028582332132,19.73698,17.77531,16.75665,16.33989,15.95399,4.337185,1.876451,6.209213,0.6455527,0.6870877,-124.7826,-2322.203,-11034.21,1.0,0.1169759,2.800487e-05,232.3421,11.36382,588848899913351381,181.59922790527344,-0.0343005992472171,146,0.8809999823570251,0.0949999988079071,0.0240000002086162,0.0,1.0,0.25,0.75,Elliptical
1237648721767891060,180.657348051927,0.269374821257845,19.4206,17.44215,16.43345,15.9979,15.61856,5.230234,2.236428,6.941101,0.7102091,0.756457,-65.84856,-2953.988,-15988.27,1.0,0.1043807,1.910306e-05,251.5553,8.471272,588848900449829000,180.6573486328125,0.2693801820278168,189,0.800000011920929,0.1800000071525573,0.0199999995529651,0.0,1.0,0.3000000119209289,0.699999988079071,Elliptical
1237648721767956514,180.791316291226,0.319245418718656,18.23926,16.83808,16.09584,15.69657,15.40769,5.619092,2.310102,6.625101,0.954853,0.9231998,-226.5332,-2736.712,-24752.47,0.871933,0.08648984,1.247308e-05,110.2476,5.665341,588848900449894444,180.79132080078125,0.319248229265213,145,0.9330000281333924,0.0439999997615814,0.0219999998807907,0.0,1.0,0.5,0.5,Elliptical
1237648722840977489,179.225933897596,1.09926679074225,18.10208,17.11242,16.60313,16.27641,16.05592,5.15381,2.332072,5.926539,0.3784091,0.38636,-1255.074,-694.7039,-19488.53,0.3991249,0.03944224,7.418451e-06,48.91912,9.000632,588848901522915437,179.22593688964844,1.0992690324783323,131,0.8569999933242798,0.0710000023245811,0.0710000023245811,0.3330000042915344,0.6669999957084656,0.0,1.0,Elliptical
1237650371555557469,179.689436326259,-1.80598711748797,19.79923,17.51644,16.69241,16.14418,15.82244,6.076432,2.923516,6.816243,0.3232068,0.3258974,-2315.752,-255.5885,-13973.9,0.0,0.08785474,2.282609e-05,0.0,0.0,587724650330652781,179.68943786621094,-1.805986762046814,113,0.9089999794960022,0.090999998152256,0.0,0.5,0.5,0.5,0.5,Elliptical
